model,batch_mode,bifurcation,shift_sigma,seed,decipher_seed,arm,rho,rho_plus,rho_minus,branch_asw,r2_overall,r2_per_gene_median,trained_h5ad,error,seconds
native,z,bif,7.5,5,1,Base Decipher (z),0.7157874677052903,0.5354475709573762,0.6376310213828403,0.00611085956916213,0.96368477809605,0.9533361345936517,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_sigma7.5_seed5_native_bif_z.h5ad,,240.0
native,z,bif,10.0,4,1,Base Decipher (z),0.7262932861728263,0.452833778977003,0.8009316035461985,0.029644247144460678,0.9699952669876345,0.9582739851275077,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_sigma10.0_seed4_native_bif_z.h5ad,,246.3
native,z,bif,10.0,3,1,Base Decipher (z),0.68260417616203,0.7294006595466707,0.4621190297130418,0.018662914633750916,0.9647996553051398,0.9525454966309046,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_sigma10.0_seed3_native_bif_z.h5ad,,257.1
native,z,nobif,2.0,3,1,Base Decipher (z),0.8909789449788118,,,,0.9449095018209624,0.9075997378833347,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_sigma2.0_seed3_native_nobif_z.h5ad,,261.5
native,z,nobif,0.1,3,1,Base Decipher (z),0.9856941307649904,,,,0.9145825650941406,0.788727926519887,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_sigma0.1_seed3_native_nobif_z.h5ad,,267.5
native,z,nobif,2.0,5,1,Base Decipher (z),0.5978158675425871,,,,0.9423150803207128,0.9114245188828498,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_sigma2.0_seed5_native_nobif_z.h5ad,,193.5
native,z,nobif,5.0,3,1,Base Decipher (z),0.8627549380938077,,,,0.9599232539798566,0.9448352307029695,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_sigma5.0_seed3_native_nobif_z.h5ad,,198.3
native,z,nobif,5.0,4,1,Base Decipher (z),0.624234811418605,,,,0.9577322938864243,0.9412587649981166,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_sigma5.0_seed4_native_nobif_z.h5ad,,183.7
native,genes,bif,0.1,4,1,Base Decipher (genes),0.979691571788193,0.9759882366333119,0.9799992569694522,0.4223405718803406,0.8717036024440925,0.7762356793758725,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_sigma0.1_seed4_native_bif_genes.h5ad,,136.2
native,z,nobif,5.0,5,1,Base Decipher (z),0.6407355364195738,,,,0.9658056452751885,0.962606189082667,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_sigma5.0_seed5_native_nobif_z.h5ad,,197.5
