model,batch_mode,bifurcation,shift_sigma,seed,decipher_seed,arm,wandb_run_id,wandb_url,rho,rho_plus,rho_minus,branch_asw,r2_overall,r2_per_gene_median,trained_h5ad,error,seconds
native,z,bif,2.0,3,1,Base Decipher (z),,,0.8006930692129409,0.5320810203860353,0.733202947592201,0.1223493739962577,0.9452773759169352,0.8953735217827139,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_ds3_sigma2.0_seed3_native_bif_z_decipherseed_1.h5ad,,186.7
native,z,bif,1.0,5,3,Base Decipher (z),,,0.7594187244374571,0.805105593036985,0.5976326289588603,0.2928832173347473,0.9159292030028878,0.8458330962104482,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_ds3_sigma1.0_seed5_native_bif_z_decipherseed_3.h5ad,,202.7
native,z,bif,0.1,5,2,Base Decipher (z),glzpn9y5,https://wandb.ai/jpark-columbia/decipher-bc-sigma-sweep/runs/glzpn9y5,0.9754831018068288,0.9658030104454044,0.9552615792074772,0.470526784658432,0.8838785215051144,0.7745394162281758,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_ds3_sigma0.1_seed5_native_bif_z_decipherseed_2.h5ad,,738.3
native,z,bif,2.0,3,2,Base Decipher (z),,,0.7952113630878768,0.7950005677772006,0.8064190534564916,0.1958470791578292,0.9457274039984443,0.8930173231398975,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_ds3_sigma2.0_seed3_native_bif_z_decipherseed_2.h5ad,,183.8
native,z,bif,2.0,4,1,Base Decipher (z),,,0.6261319316575221,0.5744620077758671,0.4079915570177644,0.1784423291683197,0.9300408767356696,0.8750101360891405,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_ds3_sigma2.0_seed4_native_bif_z_decipherseed_1.h5ad,,207.4
native,z,bif,2.0,3,3,Base Decipher (z),,,0.7858166060350463,0.7459284683317156,0.7852749281453703,0.1095374226570129,0.9459868803118284,0.8965878132444536,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_ds3_sigma2.0_seed3_native_bif_z_decipherseed_3.h5ad,,232.8
native,z,bif,2.0,4,2,Base Decipher (z),,,0.7222296221034532,0.6493477973806032,0.4299535592745576,0.1585813164710998,0.9329556691622408,0.8775957560003782,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_ds3_sigma2.0_seed4_native_bif_z_decipherseed_2.h5ad,,208.8
native,z,bif,2.0,5,2,Base Decipher (z),,,0.6514411120304319,0.3156045991755783,0.7224520535156981,0.0844065397977829,0.9360471320181742,0.8871882649262619,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_ds3_sigma2.0_seed5_native_bif_z_decipherseed_2.h5ad,,174.7
native,z,bif,2.0,5,1,Base Decipher (z),,,0.775946504773942,0.6488056063913967,0.7752079332833206,0.1029884815216064,0.9399072335850172,0.8911740501927349,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_ds3_sigma2.0_seed5_native_bif_z_decipherseed_1.h5ad,,202.0
native,z,bif,2.0,4,3,Base Decipher (z),,,0.6777866315193465,0.5959136986870301,0.3658495069827654,0.1852550059556961,0.9332264967700608,0.8796908241702749,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_ds3_sigma2.0_seed4_native_bif_z_decipherseed_3.h5ad,,216.9
