model,sigma,seed,rho,trained_h5ad
Base Decipher,10.0,3,0.8163483427572269,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0803/trained/sigma10.0_seed3_decipher.h5ad
Base Decipher,10.0,4,0.3801086324004154,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0803/trained/sigma10.0_seed4_decipher.h5ad
Decipher-VZ,0.1,0,0.7814710929497202,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0803/trained/sigma0.1_seed0_decipher_vz.h5ad
Decipher-VZ,0.1,1,0.8920901053790505,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0803/trained/sigma0.1_seed1_decipher_vz.h5ad
Decipher-VZ,0.1,2,0.7925571791692737,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0803/trained/sigma0.1_seed2_decipher_vz.h5ad
Decipher-VZ,0.1,3,0.9910048207865731,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0803/trained/sigma0.1_seed3_decipher_vz.h5ad
Decipher-VZ,0.1,4,0.9649665287627879,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0803/trained/sigma0.1_seed4_decipher_vz.h5ad
Decipher-VZ,0.5,0,0.19371852275399057,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0803/trained/sigma0.5_seed0_decipher_vz.h5ad
Decipher-VZ,0.5,1,0.7150082552794742,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0803/trained/sigma0.5_seed1_decipher_vz.h5ad
Decipher-VZ,0.5,2,0.7155752096862301,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0803/trained/sigma0.5_seed2_decipher_vz.h5ad
Decipher-VZ,0.5,3,0.9485819032537564,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0803/trained/sigma0.5_seed3_decipher_vz.h5ad
Decipher-VZ,0.5,4,0.8707393181664039,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0803/trained/sigma0.5_seed4_decipher_vz.h5ad
Decipher-VZ,1.0,0,0.031543983418747756,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0803/trained/sigma1.0_seed0_decipher_vz.h5ad
Decipher-VZ,1.0,1,0.06693542859871829,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0803/trained/sigma1.0_seed1_decipher_vz.h5ad
Decipher-VZ,1.0,2,0.5390567163364882,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0803/trained/sigma1.0_seed2_decipher_vz.h5ad
Decipher-VZ,1.0,3,0.6470768338816427,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0803/trained/sigma1.0_seed3_decipher_vz.h5ad
Decipher-VZ,1.0,4,0.8314682170786147,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0803/trained/sigma1.0_seed4_decipher_vz.h5ad
Decipher-VZ,2.0,0,0.20887044536374022,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0803/trained/sigma2.0_seed0_decipher_vz.h5ad
Decipher-VZ,2.0,1,0.5679103886707867,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0803/trained/sigma2.0_seed1_decipher_vz.h5ad
Decipher-VZ,2.0,2,0.14534158969493702,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0803/trained/sigma2.0_seed2_decipher_vz.h5ad
Decipher-VZ,2.0,3,0.4215095312950879,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0803/trained/sigma2.0_seed3_decipher_vz.h5ad
Decipher-VZ,2.0,4,0.7107473735408466,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0803/trained/sigma2.0_seed4_decipher_vz.h5ad
Decipher-VZ,5.0,0,0.12369273035785978,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0803/trained/sigma5.0_seed0_decipher_vz.h5ad
Decipher-VZ,5.0,1,0.25483394775900525,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0803/trained/sigma5.0_seed1_decipher_vz.h5ad
Decipher-VZ,5.0,2,0.25497359545275483,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0803/trained/sigma5.0_seed2_decipher_vz.h5ad
Decipher-VZ,5.0,3,0.4193464566338549,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0803/trained/sigma5.0_seed3_decipher_vz.h5ad
Decipher-VZ,5.0,4,0.6456409107633043,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0803/trained/sigma5.0_seed4_decipher_vz.h5ad
Decipher-VZ,7.5,0,0.25013843232437194,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0803/trained/sigma7.5_seed0_decipher_vz.h5ad
Decipher-VZ,7.5,1,0.2594880281805682,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0803/trained/sigma7.5_seed1_decipher_vz.h5ad
Decipher-VZ,7.5,2,0.22407103265272701,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0803/trained/sigma7.5_seed2_decipher_vz.h5ad
Decipher-VZ,7.5,3,0.5873782661605038,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0803/trained/sigma7.5_seed3_decipher_vz.h5ad
Decipher-VZ,7.5,4,0.5967580965737346,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0803/trained/sigma7.5_seed4_decipher_vz.h5ad
Decipher-VZ,10.0,0,0.311268915142734,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0803/trained/sigma10.0_seed0_decipher_vz.h5ad
Decipher-VZ,10.0,1,0.2377591683761927,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0803/trained/sigma10.0_seed1_decipher_vz.h5ad
Decipher-VZ,10.0,2,0.24610682545853382,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0803/trained/sigma10.0_seed2_decipher_vz.h5ad
Decipher-VZ,10.0,3,0.5159071105782693,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0803/trained/sigma10.0_seed3_decipher_vz.h5ad
Decipher-VZ,10.0,4,0.4469201940739379,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0803/trained/sigma10.0_seed4_decipher_vz.h5ad
Decipher-VZ2,0.1,0,0.7952442811188736,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0803/trained/sigma0.1_seed0_decipher_vz2.h5ad
Decipher-VZ2,0.1,1,0.9013330716592586,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0803/trained/sigma0.1_seed1_decipher_vz2.h5ad
Decipher-VZ2,0.1,2,0.8274717696793579,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0803/trained/sigma0.1_seed2_decipher_vz2.h5ad
Decipher-VZ2,0.1,3,0.9905696807240605,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0803/trained/sigma0.1_seed3_decipher_vz2.h5ad
Decipher-VZ2,0.1,4,0.9749237990896963,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0803/trained/sigma0.1_seed4_decipher_vz2.h5ad
Decipher-VZ2,0.5,0,0.21030468409037714,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0803/trained/sigma0.5_seed0_decipher_vz2.h5ad
Decipher-VZ2,0.5,1,0.7498288427428019,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0803/trained/sigma0.5_seed1_decipher_vz2.h5ad
Decipher-VZ2,0.5,2,0.7248874084761899,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0803/trained/sigma0.5_seed2_decipher_vz2.h5ad
Decipher-VZ2,0.5,3,0.945372216253668,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0803/trained/sigma0.5_seed3_decipher_vz2.h5ad
Decipher-VZ2,0.5,4,0.9345088179347316,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0803/trained/sigma0.5_seed4_decipher_vz2.h5ad
