ilisi,graph_conn,sil_batch,model,sigma,seed
0.1559111475944519,0.9908000000000001,0.6778245,Decipher-VZ2,0.5,3
0.27391594648361206,0.882,0.74486303,Decipher-VZ2,0.5,4
2.9802322387695312e-08,0.28040000000000004,0.4251526,Decipher-VZ2,1.0,0
0.0015627741813659668,0.6072,0.52473915,Decipher-VZ2,1.0,1
0.0323011577129364,0.8751999999999999,0.6431261,Decipher-VZ2,1.0,2
0.04669547080993652,0.4728,0.53001475,Decipher-VZ2,1.0,3
0.08557319641113281,0.8555999999999999,0.67035913,Decipher-VZ2,1.0,4
0.0,0.2372,0.22885954,Decipher-VZ2,2.0,0
5.960464477539063e-08,0.3352,0.34406638,Decipher-VZ2,2.0,1
0.028941750526428223,0.3708,0.5854533,Decipher-VZ2,2.0,2
5.960464477539063e-08,0.3976,0.37858424,Decipher-VZ2,2.0,3
0.08606976270675659,0.6020000000000001,0.52637863,Decipher-VZ2,2.0,4
0.0,0.1428,0.12086065,Decipher-VZ2,5.0,0
2.9802322387695312e-08,0.21799999999999997,0.3054484,Decipher-VZ2,5.0,1
5.960464477539063e-08,0.262,0.337936,Decipher-VZ2,5.0,2
0.0,0.3224,0.2777833,Decipher-VZ2,5.0,3
1.1920928955078125e-07,0.44720000000000004,0.4391384,Decipher-VZ2,5.0,4
0.0,0.17040000000000002,0.16080888,Decipher-VZ2,7.5,0
0.0,0.1976,0.12160058,Decipher-VZ2,7.5,1
0.0,0.1984,0.24236958,Decipher-VZ2,7.5,2
2.9802322387695312e-08,0.22200000000000003,0.13452664,Decipher-VZ2,7.5,3
2.9802322387695312e-08,0.34639999999999993,0.39189047,Decipher-VZ2,7.5,4
2.9802322387695312e-08,0.1628,0.25736722,Decipher-VZ2,10.0,0
0.0,0.1924,0.18397155,Decipher-VZ2,10.0,1
5.960464477539063e-08,0.1888,0.32884824,Decipher-VZ2,10.0,2
0.0,0.2204,0.15204997,Decipher-VZ2,10.0,3
8.940696716308594e-08,0.37,0.35797006,Decipher-VZ2,10.0,4
0.4857759475708008,0.5124,0.82875806,Decipher-MF,0.1,0
0.48723775148391724,0.716,0.8348528,Decipher-MF,0.1,1
0.5398898124694824,0.5836,0.8377517,Decipher-MF,0.1,2
0.5198642015457153,0.952,0.8295959,Decipher-MF,0.1,3
0.5433960556983948,0.7612,0.8607607,Decipher-MF,0.1,4
0.1146169900894165,0.3096,0.66123974,Decipher-MF,0.5,0
0.2187819480895996,0.7912000000000001,0.6780589,Decipher-MF,0.5,1
0.2718623876571655,0.8048,0.7805556,Decipher-MF,0.5,2
0.3476446866989136,0.9396000000000001,0.7345785,Decipher-MF,0.5,3
0.35936665534973145,0.9244,0.7362671,Decipher-MF,0.5,4
0.03261613845825195,0.6132,0.6324317,Decipher-MF,1.0,0
0.1851193904876709,0.7628,0.70487785,Decipher-MF,1.0,1
0.23573005199432373,0.5316,0.7146956,Decipher-MF,1.0,2
0.28134751319885254,0.7904,0.6608777,Decipher-MF,1.0,3
0.32602930068969727,0.9460000000000001,0.7247661,Decipher-MF,1.0,4
0.018367767333984375,0.1276,0.5348183,Decipher-MF,2.0,0
0.12449342012405396,0.7123999999999999,0.63698065,Decipher-MF,2.0,1
0.1811438500881195,0.44720000000000004,0.6231756,Decipher-MF,2.0,2
0.16958141326904297,0.6928,0.61039156,Decipher-MF,2.0,3
0.22184783220291138,0.9056000000000001,0.7104281,Decipher-MF,2.0,4
2.9802322387695312e-08,0.1472,0.4583524,Decipher-MF,5.0,0
2.9802322387695312e-08,0.1944,0.3782421,Decipher-MF,5.0,1
0.008608728647232056,0.39160000000000006,0.6806124,Decipher-MF,5.0,2
0.06945833563804626,0.7524,0.6079222,Decipher-MF,5.0,3
