model,n_z_dims,shift_sigma,seed,decipher_seed,beta,batch_mode,branching_t,branch_prob,hole_label,hole_size,n_holes,hole_density,rho,rho_plus,rho_minus,branch_asw,trained_h5ad,r2_overall,r2_per_gene_median,error
Base Decipher,3,2.0,3,1,0.1,genes,0.3,0.5,holes3,1,3,0.05,0.9141165602393349,0.9224830066970928,0.9003203749776081,0.4287680685520172,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0924/trained/9.10_sigma2.0_seed3_native_bif_genes_holes3x1d0.05_decipherseed_1.h5ad,0.6512816719521981,0.5273822002989912,
Base Decipher,3,2.0,4,1,0.1,genes,0.3,0.5,holes3,1,3,0.05,0.4376906790612077,0.7025487795501945,0.2769819525394703,0.019556982442736626,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0924/trained/9.10_sigma2.0_seed4_native_bif_genes_holes3x1d0.05_decipherseed_1.h5ad,0.6565075632205464,0.5244672703528137,
Set3 concat->x  model5,3,0.1,3,1,0.1,genes,0.3,0.5,holes3,1,3,0.05,0.976262609979178,0.9842165352709336,0.9845307838046262,0.45919546484947205,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0924/trained/9.10_sigma0.1_seed3_model5_bif_genes_holes3x1d0.05_decipherseed_1.h5ad,0.9494923858483042,0.9134015645586702,
Set3 concat->x  model5,3,0.1,4,1,0.1,genes,0.3,0.5,holes3,1,3,0.05,0.9753823160944456,0.963848184419294,0.9576645430821173,0.41579023003578186,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0924/trained/9.10_sigma0.1_seed4_model5_bif_genes_holes3x1d0.05_decipherseed_1.h5ad,0.88611733551348,0.801053236190642,
Set3 concat->x  model5,3,0.5,3,1,0.1,genes,0.3,0.5,holes3,1,3,0.05,0.9865071977617667,0.9806522360953552,0.9833409447717465,0.4926624000072479,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0924/trained/9.10_sigma0.5_seed3_model5_bif_genes_holes3x1d0.05_decipherseed_1.h5ad,0.9405939053068374,0.9005868150040812,
Set3 concat->x  model5,3,0.5,4,1,0.1,genes,0.3,0.5,holes3,1,3,0.05,0.9691600098639306,0.9587722216337723,0.9614741195671729,0.4411311447620392,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0924/trained/9.10_sigma0.5_seed4_model5_bif_genes_holes3x1d0.05_decipherseed_1.h5ad,0.886293106080333,0.8195519782337715,
Set3 concat->x  model5,3,1.0,3,1,0.1,genes,0.3,0.5,holes3,1,3,0.05,0.9857271723642206,0.9838915124948061,0.978943546587987,0.4336404502391815,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0924/trained/9.10_sigma1.0_seed3_model5_bif_genes_holes3x1d0.05_decipherseed_1.h5ad,0.931964261336321,0.88515604834481,
Set3 concat->x  model5,3,1.0,4,1,0.1,genes,0.3,0.5,holes3,1,3,0.05,0.9768873825502926,0.960568114327032,0.9626533559905792,0.45287227630615234,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0924/trained/9.10_sigma1.0_seed4_model5_bif_genes_holes3x1d0.05_decipherseed_1.h5ad,0.9019720701203481,0.8601963861101641,
Set3 concat->x  model5,3,2.0,3,1,0.1,genes,0.3,0.5,holes3,1,3,0.05,0.840243920636151,0.9750689984417771,0.9477058512251805,0.4919435977935791,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0924/trained/9.10_sigma2.0_seed3_model5_bif_genes_holes3x1d0.05_decipherseed_1.h5ad,0.931278086472857,0.8924473166056042,
Set3 concat->x  model5,3,2.0,4,1,0.1,genes,0.3,0.5,holes3,1,3,0.05,0.609882964443025,0.9445067867346943,0.03040786212823695,0.39222875237464905,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0924/trained/9.10_sigma2.0_seed4_model5_bif_genes_holes3x1d0.05_decipherseed_1.h5ad,0.9297942160879028,0.901627347113092,
