,cell_id,group
345,aadcmbld-1,tumor
346,aaddbjgb-1,fibroblast
347,aaddeldn-1,mixed_APC
348,aaddfbmn-1,tumor
349,aaddfibl-1,tumor
350,aaddhall-1,tumor
351,aaddligg-1,fibroblast
354,aadefpfb-1,tumor
355,aadegjhd-1,tumor
356,aadeiigi-1,tumor
357,aademabl-1,tumor
358,aadeolja-1,tumor
360,aadfcbpo-1,tumor
361,aadfedad-1,tumor
363,aadfhkif-1,tumor
364,aadflbec-1,tumor
365,aadfljai-1,tumor
368,aadfnmml-1,tumor
370,aadgeaod-1,fibroblast
371,aadgfjcj-1,macrophage
372,aadghcmb-1,tumor
373,aadghimo-1,macrophage
374,aadglkdc-1,tumor
376,aadhamck-1,fibroblast
377,aadhecbd-1,tumor
379,aadhhclg-1,DC
380,aadhheag-1,tumor
381,aadhidpf-1,tumor
382,aadhikbk-1,tumor
384,aadhopdc-1,tumor
385,aadifiof-1,tumor
386,aadigdhb-1,tumor
387,aadihkod-1,mixed_immune
388,aadijfko-1,tumor
389,aadimnoa-1,tumor
390,aadinaoo-1,tumor
392,aadioefi-1,fibroblast
393,aadiolmk-1,DC
394,aadjahli-1,plasma b
395,aadjbkmm-1,tumor
396,aadjecke-1,tumor
397,aadjhgna-1,fibroblast
398,aadkacll-1,tumor
399,aadkagpk-1,macrophage
401,aadkegcn-1,tumor
403,aadkhkna-1,fibroblast
404,aadkkgdg-1,endothelial
409,aadlppap-1,endothelial
410,aadmbfej-1,tumor
411,aadmehgj-1,tumor
414,aadmleig-1,tumor
415,aadmmdbd-1,tumor
416,aadnbeod-1,tumor
417,aadndemo-1,tumor
419,aadnihnk-1,tumor
420,aadnmbah-1,tumor
421,aadnmdak-1,tumor
422,aadnmjkb-1,tumor
423,aadnobjf-1,tumor
424,aadnolpo-1,tumor
425,aadoangc-1,tumor
427,aadonhdj-1,tumor
428,aadpalje-1,tumor
429,aadpdfkl-1,plasma b
431,aadpicnh-1,tumor
432,aadpjcmc-1,tumor
435,aaeahipn-1,mixed_APC
436,aaeaimee-1,tumor
437,aaeakcbk-1,fibroblast
438,aaealfce-1,tumor
439,aaeampmb-1,tumor
440,aaeanbpm-1,plasma b
441,aaeanhpo-1,tumor
443,aaebemjg-1,macrophage
445,aaebjhog-1,tumor
446,aaebjmfa-1,tumor
447,aaebmmah-1,tumor
449,aaeccgnh-1,mixed_immune
450,aaecfkig-1,tumor
451,aaecligp-1,tumor
452,aaeclljc-1,tumor
453,aaeclnhn-1,tumor
454,aaecmjfh-1,tumor
456,aaeddlgm-1,tumor
457,aaedejgn-1,tumor
459,aaedgalb-1,tumor
460,aaedhlgo-1,tumor
461,aaedhoeo-1,tumor
463,aaedmemo-1,fibroblast
464,aaednegd-1,tumor
465,aaednmga-1,tumor
466,aaeecpcd-1,tumor
467,aaeedenj-1,tumor
468,aaeeickd-1,tumor
469,aaeeilib-1,fibroblast
470,aaeekooe-1,tumor
471,aaeekpeg-1,endothelial
472,aaeenegd-1,tumor
