model,n_z_dims,shift_sigma,seed,decipher_seed,rho,trained_h5ad,r2_overall,r2_per_gene_median,error
Decipher-MF,3,2.0,0,1,0.7981911176065727,/Users/jihyunpark/Documents/Decipher/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0804/trained/sigma2.0_seed0_decipher_mf.h5ad,0.8508977924611341,0.7930917275251312,
Decipher-MF,3,2.0,1,1,0.7699083113727997,/Users/jihyunpark/Documents/Decipher/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0804/trained/sigma2.0_seed1_decipher_mf.h5ad,0.73131596311412,0.5988557425663148,
Decipher-MF,3,2.0,2,1,0.7456851520372147,/Users/jihyunpark/Documents/Decipher/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0804/trained/sigma2.0_seed2_decipher_mf.h5ad,0.8296602345038728,0.6804867262040171,
Decipher-MF,3,5.0,0,1,0.7444773016514935,/Users/jihyunpark/Documents/Decipher/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0804/trained/sigma5.0_seed0_decipher_mf.h5ad,0.9071949716909122,0.8962092538087862,
Decipher-MF,3,5.0,1,1,0.846431468569994,/Users/jihyunpark/Documents/Decipher/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0804/trained/sigma5.0_seed1_decipher_mf.h5ad,0.8437198975388424,0.7851084531979049,
Decipher-MF,3,5.0,2,1,0.5571688096928806,/Users/jihyunpark/Documents/Decipher/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0804/trained/sigma5.0_seed2_decipher_mf.h5ad,0.8873798734332433,0.8216072293685486,
Decipher-MF,3,7.5,0,1,0.6969307896693114,/Users/jihyunpark/Documents/Decipher/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0804/trained/sigma7.5_seed0_decipher_mf.h5ad,0.8778935756658006,0.8733792142322432,
Decipher-MF,3,7.5,1,1,0.5772541928555202,/Users/jihyunpark/Documents/Decipher/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0804/trained/sigma7.5_seed1_decipher_mf.h5ad,0.8799532712215994,0.851488767690586,
Decipher-MF,3,7.5,2,1,0.42085787342436626,/Users/jihyunpark/Documents/Decipher/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0804/trained/sigma7.5_seed2_decipher_mf.h5ad,0.8710648417855666,0.8161040300768385,
Decipher-MF,3,10.0,0,1,0.5765803052247935,/Users/jihyunpark/Documents/Decipher/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0804/trained/sigma10.0_seed0_decipher_mf.h5ad,0.8911965094060641,0.873505584382855,
Decipher-MF,3,10.0,1,1,0.3292388758215019,/Users/jihyunpark/Documents/Decipher/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0804/trained/sigma10.0_seed1_decipher_mf.h5ad,0.8672170069745576,0.8333659173498267,
Decipher-MF,3,10.0,2,1,0.4138189660907752,/Users/jihyunpark/Documents/Decipher/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0804/trained/sigma10.0_seed2_decipher_mf.h5ad,0.8691500923592717,0.8710496434686648,
Base Decipher,3,0.1,0,1,0.8561120176969145,/Users/jihyunpark/Documents/Decipher/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0804/trained/sigma0.1_seed0_decipher.h5ad,0.749661285293571,0.45575669246553524,
Base Decipher,3,0.1,1,1,0.9234288881293399,/Users/jihyunpark/Documents/Decipher/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0804/trained/sigma0.1_seed1_decipher.h5ad,0.7784909306988548,0.5192200049463901,
Base Decipher,3,0.1,2,1,0.8810207803754452,/Users/jihyunpark/Documents/Decipher/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0804/trained/sigma0.1_seed2_decipher.h5ad,0.7457382242624077,0.41466101072014494,
Base Decipher,3,0.5,0,1,0.47368074010114947,/Users/jihyunpark/Documents/Decipher/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0804/trained/sigma0.5_seed0_decipher.h5ad,0.8227867944940195,0.6678489649978365,
Base Decipher,3,0.5,1,1,0.8372884160221233,/Users/jihyunpark/Documents/Decipher/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0804/trained/sigma0.5_seed1_decipher.h5ad,0.7808226731395904,0.607426995261481,
Base Decipher,3,0.5,2,1,0.798641168887814,/Users/jihyunpark/Documents/Decipher/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0804/trained/sigma0.5_seed2_decipher.h5ad,0.7813123982070578,0.571676041269991,
Base Decipher,3,1.0,0,1,0.4965459272528126,/Users/jihyunpark/Documents/Decipher/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0804/trained/sigma1.0_seed0_decipher.h5ad,0.8931172418263196,0.8127471056930827,
Base Decipher,3,1.0,1,1,0.7798433960667505,/Users/jihyunpark/Documents/Decipher/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0804/trained/sigma1.0_seed1_decipher.h5ad,0.8846763835948861,0.7912780134112436,
Base Decipher,3,1.0,2,1,0.2034591562595601,/Users/jihyunpark/Documents/Decipher/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0804/trained/sigma1.0_seed2_decipher.h5ad,0.8386983855089087,0.7019059671809171,
Base Decipher,3,2.0,0,1,0.6556979064414928,/Users/jihyunpark/Documents/Decipher/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0804/trained/sigma2.0_seed0_decipher.h5ad,0.9388582581455922,0.910788441059663,
Base Decipher,3,2.0,1,1,0.5809567730726601,/Users/jihyunpark/Documents/Decipher/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0804/trained/sigma2.0_seed1_decipher.h5ad,0.9302948033636889,0.8966341463810152,
Base Decipher,3,2.0,2,1,0.6757954605736333,/Users/jihyunpark/Documents/Decipher/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0804/trained/sigma2.0_seed2_decipher.h5ad,0.9090534029369322,0.8474863786986213,
Base Decipher,3,5.0,0,1,0.6671898703771558,/Users/jihyunpark/Documents/Decipher/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0804/trained/sigma5.0_seed0_decipher.h5ad,0.9527154555886893,0.9453234881285129,
Base Decipher,3,5.0,1,1,0.6146203282184349,/Users/jihyunpark/Documents/Decipher/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0804/trained/sigma5.0_seed1_decipher.h5ad,0.9547027838131247,0.9517657333028164,
Base Decipher,3,5.0,2,1,0.5371216810601035,/Users/jihyunpark/Documents/Decipher/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0804/trained/sigma5.0_seed2_decipher.h5ad,0.9591898663815482,0.9444399133338677,
Base Decipher,3,7.5,0,1,0.6263907904118111,/Users/jihyunpark/Documents/Decipher/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0804/trained/sigma7.5_seed0_decipher.h5ad,0.9480063862849029,0.945347132765127,
Base Decipher,3,7.5,1,1,0.5405768084415645,/Users/jihyunpark/Documents/Decipher/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0804/trained/sigma7.5_seed1_decipher.h5ad,0.9550105464238674,0.961753948905815,
Base Decipher,3,7.5,2,1,0.5042198071352486,/Users/jihyunpark/Documents/Decipher/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0804/trained/sigma7.5_seed2_decipher.h5ad,0.9697131793670326,0.964349977538808,
Base Decipher,3,10.0,0,1,0.6180206495260018,/Users/jihyunpark/Documents/Decipher/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0804/trained/sigma10.0_seed0_decipher.h5ad,0.9417107862781618,0.9431022323913987,
Base Decipher,3,10.0,1,1,0.7053348259429625,/Users/jihyunpark/Documents/Decipher/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0804/trained/sigma10.0_seed1_decipher.h5ad,0.9531314516051844,0.9663409600072491,
Base Decipher,3,10.0,2,1,0.585557204939348,/Users/jihyunpark/Documents/Decipher/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0804/trained/sigma10.0_seed2_decipher.h5ad,0.9726880853866431,0.9692676113153371,
