model,n_z_dims,shift_sigma,seed,decipher_seed,rho,trained_h5ad,r2_overall,r2_per_gene_median,error
Decipher-MF,3,2.0,3,1,0.7735245806040822,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0804/trained/sigma2.0_seed3_decipher_mf.h5ad,0.7654204159057885,0.6627658592232888,
Decipher-MF,3,2.0,4,1,0.8847165015437515,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0804/trained/sigma2.0_seed4_decipher_mf.h5ad,0.717955403966831,0.5514331676040537,
Decipher-MF,3,5.0,3,1,0.7259774745944876,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0804/trained/sigma5.0_seed3_decipher_mf.h5ad,0.7525780580021317,0.7331484422371075,
Decipher-MF,3,5.0,4,1,0.4721378369701633,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0804/trained/sigma5.0_seed4_decipher_mf.h5ad,0.8385919940246714,0.8191337004033417,
Decipher-MF,3,7.5,3,1,0.831256374187402,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0804/trained/sigma7.5_seed3_decipher_mf.h5ad,0.7087069216731132,0.6816105561930335,
Decipher-MF,3,7.5,4,1,0.3706859093527979,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0804/trained/sigma7.5_seed4_decipher_mf.h5ad,0.8752994640168549,0.8744672079988415,
Decipher-MF,3,10.0,3,1,0.7642439546174052,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0804/trained/sigma10.0_seed3_decipher_mf.h5ad,0.813011903789932,0.8036185373635643,
Decipher-MF,3,10.0,4,1,0.7715081997622997,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0804/trained/sigma10.0_seed4_decipher_mf.h5ad,0.8942600707741181,0.9118639275176563,
Base Decipher,3,0.1,3,1,0.9913116890615483,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0804/trained/sigma0.1_seed3_decipher.h5ad,0.9072588309610388,0.7812384808829633,
Base Decipher,3,0.1,4,1,0.9742871853468328,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0804/trained/sigma0.1_seed4_decipher.h5ad,0.8374501490187692,0.6563085136310681,
