model,shift_sigma,seed,r2_pipeline,r2_from_z_raw,r2_from_z_corrected,has_z_raw,r2_gap
Decipher-VZ2-Add,0.1,2,0.7510352987690291,0.7510352986631932,0.7505369527955263,True,0.0004983458676668384
Decipher-VZ2-Add,0.25,0,0.7795685741091153,0.7795685740723228,0.7742332957309602,True,0.005335278341362604
Decipher-VZ2-Add,0.25,1,0.7855886592978631,0.7855886591909259,0.7782579598649638,True,0.007330699325962087
Decipher-VZ2-Add,0.25,2,0.7714548670591095,0.7714548671676783,0.7704222668682119,True,0.0010326002994663908
Decipher-VZ2-Add,0.5,0,0.8222505816294445,0.8222505816016286,0.8165447723128936,True,0.0057058092887349865
Decipher-VZ2-Add,0.5,1,0.8264636930800918,0.8264636931058655,0.8086429470152726,True,0.01782074609059292
Decipher-VZ2-Add,0.5,2,0.7784021348352007,0.7784021347965375,0.7660052202676808,True,0.012396914528856717
Decipher-VZ2-Add,1.0,0,0.8945111764204342,0.8945111764132714,0.8899676046036786,True,0.00454357180959275
Decipher-VZ2-Add,1.0,1,0.8829808048039316,0.882980804858659,0.8749652783568747,True,0.008015526501784387
Decipher-VZ2-Add,1.0,2,0.8377699703478529,0.8377699703575889,0.8352137082567596,True,0.002556262100829376
Decipher-VZ2-Add,2.5,0,0.9479882679646436,0.9479882679360658,0.9446966314855834,True,0.0032916364504824713
Decipher-VZ2-Add,2.5,1,0.940228227110968,0.9402282270996067,0.9377691509847141,True,0.0024590761148926
Decipher-VZ2-Add,2.5,2,0.9267424219815648,0.9267424220067016,0.9246141667883726,True,0.002128255218329045
Decipher-MF-Add,0.1,0,0.7673854426702871,0.7673854426498988,0.7670440174420998,True,0.00034142520779900654
Decipher-MF-Add,0.1,1,0.7749686294147564,0.7749686293594675,0.7752700949879026,True,-0.000301465628435027
Decipher-MF-Add,0.1,2,0.7545364614972722,0.7545364615655072,0.754484516565113,True,5.1945000394293395e-05
Decipher-MF-Add,0.25,0,0.781511196886069,0.7815111968638853,0.7702174679846276,True,0.011293728879257614
Decipher-MF-Add,0.25,1,0.7734169684950525,0.7734169684771577,0.7716249884582355,True,0.0017919800189222235
Decipher-MF-Add,0.25,2,0.7650950221629093,0.7650950221657739,0.7636093228333787,True,0.001485699332395174
Decipher-MF-Add,0.5,0,0.8238840262532183,0.823884026295066,0.8129848855346238,True,0.010899140760442183
Decipher-MF-Add,0.5,1,0.825730293878403,0.8257302938164737,0.8079661995761338,True,0.017764094240339867
Decipher-MF-Add,0.5,2,0.7510552305764839,0.7510552305118761,0.7497197529522632,True,0.0013354775596128299
Decipher-MF-Add,1.0,0,0.8938049025964752,0.8938049026090841,0.889998928233289,True,0.003805974375795107
Decipher-MF-Add,1.0,1,0.8846290662770172,0.8846290663293265,0.8790256174618871,True,0.0056034488674393534
Decipher-MF-Add,1.0,2,0.8415152462565795,0.8415152461406075,0.8386724389789864,True,0.002842807161621108
Decipher-MF-Add,2.5,0,0.9480899729256532,0.9480899729429028,0.9445094719101362,True,0.0035805010327665254
Decipher-MF-Add,2.5,1,0.9385645411633176,0.9385645411712118,0.9342100326802313,True,0.004354508490980513
Decipher-MF-Add,2.5,2,0.9263523425833162,0.9263523426066913,0.9233726006849261,True,0.0029797419217652
Base Decipher,0.1,0,0.704179041122322,0.7041790410975569,0.7041790410975569,False,0.0
Base Decipher,0.1,1,0.7779303423383024,0.7779303423834638,0.7779303423834638,False,0.0
Base Decipher,0.1,2,0.7546586695831188,0.7546586695367277,0.7546586695367277,False,0.0
Base Decipher,0.25,0,0.7567304430190493,0.7567304430362027,0.7567304430362027,False,0.0
Base Decipher,0.25,1,0.7679529405950035,0.7679529406136427,0.7679529406136427,False,0.0
Base Decipher,0.25,2,0.7742950196546006,0.7742950196174663,0.7742950196174663,False,0.0
Base Decipher,0.5,0,0.8237759089709564,0.8237759089964465,0.8237759089964465,False,0.0
Base Decipher,0.5,1,0.7811071682992486,0.7811071682408368,0.7811071682408368,False,0.0
Base Decipher,0.5,2,0.7830050583382362,0.7830050583014802,0.7830050583014802,False,0.0
Base Decipher,1.0,0,0.8920008946833458,0.8920008947232927,0.8920008947232927,False,0.0
Base Decipher,1.0,1,0.8834896745137442,0.8834896745679768,0.8834896745679768,False,0.0
Base Decipher,1.0,2,0.8398407339444562,0.8398407339409144,0.8398407339409144,False,0.0
Base Decipher,2.5,0,0.9481316473434894,0.9481316473345015,0.9481316473345015,False,0.0
Base Decipher,2.5,1,0.9392585451751456,0.9392585451881951,0.9392585451881951,False,0.0
Base Decipher,2.5,2,0.9238142766648226,0.9238142766733718,0.9238142766733718,False,0.0
