model,shift_sigma,seed,sil_counts,sil_counts_nobatch,sil_latent_z,sil_decipher_z,sil_decipher_v
Base Decipher,0.1,2,0.06522939738175498,-0.014307995740456003,-0.027943728630868605,-0.056319084409615576,-0.058433678
Base Decipher,0.25,0,0.23175346858197726,-0.013184757192251604,-0.023589454994193744,0.21815960604858486,0.07826216
Base Decipher,0.25,1,0.207902418635752,-0.014529051916544336,-0.02794000597405464,0.20039327820606223,0.14405422
Base Decipher,0.25,2,0.22908954671469814,-0.014307995740456003,-0.027943728630868605,0.16224837222297314,0.101159796
Base Decipher,0.5,0,0.40594104249446383,-0.013184757192251604,-0.023589454994193744,0.9058307478273613,0.9147705
Base Decipher,0.5,1,0.3615098217110273,-0.014529051916544336,-0.02794000597405464,0.24990957007208703,0.21570303
Base Decipher,0.5,2,0.39457355275007194,-0.014307995740456003,-0.027943728630868605,0.6133425903406631,0.5914418
Base Decipher,1.0,0,0.5897192004520136,-0.013184757192251604,-0.023589454994193744,0.8602353164567459,0.8431368
Base Decipher,1.0,1,0.5718203391841623,-0.014529051916544336,-0.02794000597405464,0.8311673669813862,0.83458525
Base Decipher,1.0,2,0.5905907042447729,-0.014307995740456003,-0.027943728630868605,0.9311615239162431,0.92776024
