model,shift_sigma,seed,r2_pipeline,r2_from_z_raw,r2_from_z_corrected,has_z_raw
Decipher-ZX,0.25,0,0.7014220178261215,0.7014220177745754,0.7014220177745754,True
Decipher-ZX,0.25,1,0.7532350521877479,0.7532350521192928,0.7532350521192928,True
Decipher-ZX,0.25,2,0.695933225361965,0.6959332254479931,0.6959332254479931,True
Decipher-ZX,0.5,0,0.778030477981369,0.7780304780566722,0.7780304780566722,True
Decipher-ZX,0.5,1,0.7865969417583293,0.7865969417557173,0.7865969417557173,True
Decipher-ZX,0.5,2,0.7893319625674973,0.7893319624640518,0.7893319624640518,True
Decipher-ZX,1.0,0,0.8747339857216869,0.8747339857698816,0.8747339857698816,True
Decipher-ZX,1.0,1,0.8833573364798858,0.8833573364436005,0.8833573364436005,True
Decipher-ZX,1.0,2,0.8782059500613737,0.8782059500829307,0.8782059500829307,True
Decipher-ZX2,0.1,0,0.7279007055908049,0.7279007056493203,0.7277430754920471,True
Decipher-ZX2,0.1,1,0.74979476118501,0.7497947612587674,0.7495361987913736,True
Decipher-ZX2,0.1,2,0.7287755814927476,0.7287755814120129,0.7284291706740758,True
Decipher-ZX2,0.25,0,0.6946942629289246,0.6946942630303483,0.6945761963515664,True
Decipher-ZX2,0.25,1,0.7355762820055023,0.735576281988825,0.7354531287184065,True
Decipher-ZX2,0.25,2,0.7090434513149089,0.7090434512733224,0.7088305943229112,True
Decipher-ZX2,0.5,0,0.7793473915911066,0.7793473916284155,0.7791720107148502,True
Decipher-ZX2,0.5,1,0.7920213718412219,0.7920213718083068,0.7920118226281427,True
Decipher-ZX2,0.5,2,0.7857314601259813,0.7857314601120327,0.7855454880266076,True
Decipher-ZX2,1.0,0,0.8741277734516761,0.8741277734861604,0.8740673637113454,True
Decipher-ZX2,1.0,1,0.8809482471746506,0.8809482471650758,0.8807317620577536,True
Decipher-ZX2,1.0,2,0.8788601994846487,0.8788601994415861,0.8787839532462665,True
Decipher-MF2,0.1,0,0.7312133454745182,0.7312133454227028,0.7310961665730529,True
Decipher-MF2,0.1,1,0.7545868828731269,0.7545868829067652,0.7544662666343614,True
Decipher-MF2,0.1,2,0.7331946248905317,0.7331946248006105,0.7331186726059649,True
Decipher-MF2,0.25,0,0.7186507268076732,0.7186507268035864,0.7175593136113341,True
Decipher-MF2,0.25,1,0.76016876214739,0.7601687621898059,0.759921244638026,True
Decipher-MF2,0.25,2,0.7053294718270462,0.7053294719663188,0.7051066064633345,True
Decipher-MF2,0.5,0,0.8011265515852465,0.8011265515901705,0.799999817250921,True
Decipher-MF2,0.5,1,0.8069838558420729,0.8069838557241283,0.8069315129175653,True
Decipher-MF2,0.5,2,0.7900114040972704,0.7900114040951195,0.7887885951923381,True
Decipher-MF2,1.0,0,0.8829239981009797,0.8829239980320296,0.8810117130578646,True
Decipher-MF2,1.0,1,0.8888428904221923,0.8888428904141911,0.88839806467134,True
Decipher-MF2,1.0,2,0.8845170872390277,0.8845170873043071,0.8842583161283276,True
Base Decipher,0.1,0,0.6690603204632706,0.6690603204008239,0.6690603204008239,False
Base Decipher,0.1,1,0.7011491976961625,0.7011491976070051,0.7011491976070051,False
Base Decipher,0.1,2,0.6716482019744692,0.6716482019522871,0.6716482019522871,False
Base Decipher,0.25,0,0.5727273962674015,0.5727273961611667,0.5727273961611667,False
Base Decipher,0.25,1,0.6333213013331573,0.6333213013079851,0.6333213013079851,False
Base Decipher,0.25,2,0.5214361834961362,0.5214361833800767,0.5214361833800767,False
Base Decipher,0.5,0,0.5997934045805817,0.5997934046464608,0.5997934046464608,False
Base Decipher,0.5,1,0.6330260805208294,0.6330260804274396,0.6330260804274396,False
Base Decipher,0.5,2,0.597780960843369,0.5977809607626813,0.5977809607626813,False
Base Decipher,1.0,0,0.6792702398078595,0.6792702398607657,0.6792702398607657,False
Base Decipher,1.0,1,0.6929014063169285,0.6929014062735361,0.6929014062735361,False
Base Decipher,1.0,2,0.6837023719682531,0.6837023720429322,0.6837023720429322,False
