model,n_z_dims,shift_sigma,seed,decipher_seed,beta,batch_mode,rho,trained_h5ad,r2_overall,r2_per_gene_median,error
Decipher-MF-Add,3,0.25,0,1,0.1,genes,0.8904829234344915,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0825/trained/9.9_sigma0.25_seed0_decipher_mf_add.h5ad,0.5772700552297867,0.3186919045710659,
Decipher-MF-Add,3,0.25,1,1,0.1,genes,0.9338496011543457,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0825/trained/9.9_sigma0.25_seed1_decipher_mf_add.h5ad,0.639966978066142,0.41351435464872993,
Decipher-MF-Add,3,0.25,2,1,0.1,genes,0.8763663508720347,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0825/trained/9.9_sigma0.25_seed2_decipher_mf_add.h5ad,0.5697828252017108,0.32926743584314333,
Decipher-MF-Add,3,0.5,0,1,0.1,genes,0.20557425772630086,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0825/trained/9.9_sigma0.5_seed0_decipher_mf_add.h5ad,0.6033704951041001,0.3978732499109129,
Decipher-MF-Add,3,0.5,1,1,0.1,genes,0.9284287929994105,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0825/trained/9.9_sigma0.5_seed1_decipher_mf_add.h5ad,0.6307995152610114,0.4759191725143326,
Decipher-MF-Add,3,0.5,2,1,0.1,genes,0.3786271285253494,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0825/trained/9.9_sigma0.5_seed2_decipher_mf_add.h5ad,0.5944125326289981,0.3997300442907511,
Decipher-MF-Add,3,1.0,0,1,0.1,genes,0.17692838222972657,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0825/trained/9.9_sigma1.0_seed0_decipher_mf_add.h5ad,0.6900124297163988,0.5607087025054319,
Decipher-MF-Add,3,1.0,1,1,0.1,genes,0.40009725272580904,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0825/trained/9.9_sigma1.0_seed1_decipher_mf_add.h5ad,0.688581133633512,0.5636348720596798,
Decipher-MF-Add,3,1.0,2,1,0.1,genes,0.27045008845907825,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0825/trained/9.9_sigma1.0_seed2_decipher_mf_add.h5ad,0.6990247142160497,0.5914052651182284,
Decipher-ZX,3,0.1,0,1,0.1,genes,0.8812170926880328,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0825/trained/9.9_sigma0.1_seed0_decipher_zx.h5ad,0.729025628824095,0.5129029540041122,
Decipher-ZX,3,0.1,1,1,0.1,genes,0.9166052472381427,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0825/trained/9.9_sigma0.1_seed1_decipher_zx.h5ad,0.7603968321618408,0.5376868285881085,
Decipher-ZX,3,0.1,2,1,0.1,genes,0.8735529037315053,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0825/trained/9.9_sigma0.1_seed2_decipher_zx.h5ad,0.7290911741927126,0.48673708170411867,
Decipher-ZX,3,0.25,0,1,0.1,genes,0.879764762386299,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0825/trained/9.9_sigma0.25_seed0_decipher_zx.h5ad,0.7014220178261215,0.5134636625053355,
Decipher-ZX,3,0.25,1,1,0.1,genes,0.9219051589048055,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0825/trained/9.9_sigma0.25_seed1_decipher_zx.h5ad,0.7532350521877479,0.5976778887135733,
Decipher-ZX,3,0.25,2,1,0.1,genes,0.8772779018096662,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0825/trained/9.9_sigma0.25_seed2_decipher_zx.h5ad,0.695933225361965,0.5068329417083948,
Decipher-ZX,3,0.5,0,1,0.1,genes,0.8917195016573455,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0825/trained/9.9_sigma0.5_seed0_decipher_zx.h5ad,0.778030477981369,0.671248731528451,
